,Comuna,Link,Tipo_Vivienda,N_Habitaciones,N_Baños,N_Estacionamientos,Amoblado,Total_Superficie_M2,Superficie_Construida_M2,anoConstruccion,Valor_UF,Valor_CLP,Dirección,tipoPublicacion,Quién_Vende,Corredor,fechaPublicacion
0,Quilicura,https://chilepropiedades.cl/ver-publicacion/venta-usada/quilicura/casa/av-las-torres-74/6792918,Casa,3,2,1.0,,67.0,65.0,2001.0,2993.94,95000000.0,"Quilicura, Av. Las Torres 74",Venta Usada,                      Ascaim Spa                  ,Ascaim Propiedades,31/03/2022
1,Quinta Normal,https://chilepropiedades.cl/ver-publicacion/venta-usada/quinta-normal/casa/sta-petronila-832/6024178,Casa,4,2,2.0,,200.0,150.0,,6100.0,193557880.0,"Quinta Normal, Sta. Petronila 832",Venta Usada,                      Cristián Espinoza F                  ,Tzanis Propiedades,30/03/2022
2,Maipú,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/casa-en-maipu/6316675,Casa,3,1,1.0,,160.0,60.0,,125000000.0,3966350000000.0,"Maipú, Casa en Maipu",Venta Usada,                      Inmobiliaria Barrio Nuevo SpA                  ,Inmobiliaria Barrio Nuevo SpA,31/03/2022
3,Puente Alto,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/cordillera-de-nahuelbuta/6810221,Casa,2,2,1.0,,107.0,,,2553.0,81008732.0,"Puente Alto, Cordillera de Nahuelbuta",Venta Usada,                      VERCETTI PROPIEDADES                  ,Vercetti Propiedades,30/03/2022
4,Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/nva-delhi/6316543,Casa,3,2,2.0,,211.0,96.0,,11030.29,350000000.0,"Las Condes, Nva delhi",Venta Usada,                      Inmobiliaria Barrio Nuevo SpA                  ,Inmobiliaria Barrio Nuevo SpA,31/03/2022
5,Santiago,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/cerro-alvarado-1572/4838677,Casa,5,1,2.0,,179.0,128.0,,3990.0,126605892.0,"Santiago, Cerro Alvarado 1572",Venta Usada,                      Manuel Ruiz                  ,,29/03/2022
6,San Bernardo,https://chilepropiedades.cl/ver-publicacion/venta-usada/san-bernardo/casa/condominio-cumbres-de-nos/6813236,Casa,4,3,1.0,,150.0,99.0,,4371.0,138695327.0,"San Bernardo, Condominio Cumbres de Nos",Venta Usada,                      Myrta                  ,,31/03/2022
7,Maipú,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/batallon-atacama/6547282,Casa,4,2,2.0,,132.0,118.77,1990.0,3718.78,118000000.0,"Maipú, Batallón Atacama",Venta Usada,                      Patricia Silva                  ,,29/03/2022
8,Puente Alto,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/piloto-pardo/5635327,Casa,3,1,1.0,,150.0,90.0,1988.0,2741.82,87000000.0,"Puente Alto, Piloto Pardo",Venta Usada,                      ana maria martinez donoso                  ,Carolina Martinez Propiedades,31/03/2022
9,Estación Central,https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/estacion-central/6547305,Casa,4,2,,,90.0,90.0,1980.0,2458.18,78000000.0,"Estación Central, Estacion Central",Venta Usada,                      Patricia Silva                  ,,29/03/2022
